facts,longitude,latitude
Prescription Medication,-73.8045285,40.7214619
Prescription Medication,-73.9900458,40.6301276
Prescription Medication,-73.8244429,40.7692856
Prescription Medication,-73.9973592,40.6299852
Prescription Medication,-73.9996498,40.7631147
Prescription Medication,-73.899792,40.6442255
Aggressive Driving/Road Rage,-73.9949394,40.7008398
Prescription Medication,-73.9930539,40.7011352
Prescription Medication,-73.8278248,40.7542523
Prescription Medication,-73.8301393,40.7595695
Prescription Medication,-73.9939507,40.7142909
Prescription Medication,-74.1406053,40.6044688
Alcohol Involvement,-74.0077113,40.6746262
Prescription Medication,-73.9731412,40.7485397
Prescription Medication,-73.9629257,40.7583082
Prescription Medication,-73.9759509,40.6835142
Prescription Medication,-73.9517457,40.8195719
Alcohol Involvement,-73.8409196,40.8389159
Prescription Medication,-73.9888784,40.6312473
Fell Asleep,-74.027705,40.6398934
Prescription Medication,-74.0010934,40.736562
Prescription Medication,-73.9199662,40.6694768
Fell Asleep,-74.0650758,40.6012042
Aggressive Driving/Road Rage,-73.7903765,40.720103
Prescription Medication,-73.9376542,40.7242651
Alcohol Involvement,-73.9610689,40.7608574
Prescription Medication,-73.9954294,40.71728
Prescription Medication,-73.8812458,40.8827095
Prescription Medication,-74.0061151,40.7237466
Alcohol Involvement,-74.0078081,40.7317831
Aggressive Driving/Road Rage,-73.8888505,40.826769
Animals Action,-73.8418799,40.8743404
Prescription Medication,-73.7771911,40.7582585
Prescription Medication,-74.0764371,40.6010023
Prescription Medication,-73.9669961,40.7609059
Prescription Medication,-73.8760684,40.8316416
Alcohol Involvement,-73.8258902,40.7805044
Prescription Medication,-73.8420701,40.7638162
Alcohol Involvement,-73.8055643,40.76956
Alcohol Involvement,-73.8278248,40.7542523
Fell Asleep,-74.0331615,40.6134019
Alcohol Involvement,-74.0955712,40.5944855
Prescription Medication,-73.983213,40.6959932
Prescription Medication,-73.9914004,40.7703138
Prescription Medication,-73.7887313,40.5904197
Prescription Medication,-73.9977597,40.7215756
Aggressive Driving/Road Rage,-73.928659,40.8398022
Prescription Medication,-73.774227,40.7590426
Prescription Medication,-73.8174912,40.7278784
Prescription Medication,-73.9602915,40.6903471
Alcohol Involvement,-74.1420291,40.6033718
Prescription Medication,-73.7934377,40.7390856
Animals Action,-74.1020798,40.5887406
Prescription Medication,-73.954492,40.8082209
Prescription Medication,-73.967016,40.7935573
Alcohol Involvement,-73.8223616,40.8267983
Prescription Medication,-73.9395682,40.6585289
Prescription Medication,-73.9075049,40.7418634
Prescription Medication,-73.9298351,40.6327553
Prescription Medication,-73.9954735,40.759626
Prescription Medication,-73.9116794,40.8486394
Prescription Medication,-73.9046221,40.8473932
Aggressive Driving/Road Rage,-73.9822272,40.727846
Prescription Medication,-73.8086138,40.7184467
Alcohol Involvement,-73.8451583,40.7289016
Prescription Medication,-73.9362273,40.8204372
Prescription Medication,-74.0047875,40.7236259
Prescription Medication,-73.865914,40.8299313
Prescription Medication,-74.084573,40.6018228
Alcohol Involvement,-73.8066113,40.6844524
Alcohol Involvement,-74.0069744,40.7294941
Alcohol Involvement,-74.0052266,40.6189731
Aggressive Driving/Road Rage,-73.81684,40.708826
Aggressive Driving/Road Rage,-73.9238405,40.73361
Aggressive Driving/Road Rage,-74.0160467,40.7067007
Prescription Medication,-73.9651755,40.7909905
Prescription Medication,-74.1412032,40.6113053
Aggressive Driving/Road Rage,-73.8678194,40.8585032
Prescription Medication,-73.951602,40.7936068
Animals Action,-74.1485809,40.6217043
Animals Action,-73.8623681,40.6959506
Alcohol Involvement,-73.9361762,40.6514675
Prescription Medication,-73.9562587,40.8133899
Prescription Medication,-73.9474895,40.815206
Prescription Medication,-73.9380509,40.5808587
Aggressive Driving/Road Rage,-73.983365,40.7660449
Alcohol Involvement,-73.9427202,40.811567
Alcohol Involvement,-74.1216062,40.5735565
Alcohol Involvement,-73.9226784,40.8268488
Alcohol Involvement,-73.8964417,40.8549066
Alcohol Involvement,-73.9845292,40.6960346
Prescription Medication,-73.8063664,40.6898781
Prescription Medication,-74.100392,40.5796897
Prescription Medication,-73.9877415,40.7006626
Alcohol Involvement,-73.7627219,40.7330348
Prescription Medication,-73.9771875,40.747009
Alcohol Involvement,-73.8853671,40.7555563
Prescription Medication,-74.0035102,40.7205573
Prescription Medication,-73.9514043,40.5993815
Aggressive Driving/Road Rage,-73.9845292,40.6960346
Prescription Medication,-73.9987154,40.7347834
Alcohol Involvement,-73.8953397,40.7259197
Prescription Medication,-73.9372593,40.7451772
Aggressive Driving/Road Rage,-73.8086159,40.7384669
Fell Asleep,-74.0154878,40.6297921
Prescription Medication,-73.9138483,40.7228993
Prescription Medication,-73.876016,40.7356334
Prescription Medication,-73.9011579,40.7146219
Alcohol Involvement,-73.7498299,40.716613
Alcohol Involvement,-73.8777068,40.7128894
Prescription Medication,-73.9272684,40.8655357
Alcohol Involvement,-74.0211036,40.6415089
Prescription Medication,-73.9865607,40.7616592
Prescription Medication,-73.9891563,40.7167087
Prescription Medication,-73.947326,40.6291662
Prescription Medication,-73.9372593,40.7451772
Prescription Medication,-74.0894424,40.6076902
Prescription Medication,-73.7543765,40.7553981
Aggressive Driving/Road Rage,-73.8916526,40.7014275
Prescription Medication,-74.0092383,40.7155203
Prescription Medication,-73.891519,40.7281614
Prescription Medication,-73.7891925,40.703204
Aggressive Driving/Road Rage,-73.9992169,40.672888
Aggressive Driving/Road Rage,-74.0035869,40.6794887
Animals Action,-73.7313259,40.6848499
Alcohol Involvement,-73.9084865,40.8653467
Alcohol Involvement,-73.9026252,40.6682722
Prescription Medication,-73.8516353,40.6719314
Alcohol Involvement,-73.8753614,40.7460655
Prescription Medication,-73.8133341,40.6972045
Alcohol Involvement,-73.9427541,40.8057427
Drugs (Illegal),-73.9005788,40.7231851
Alcohol Involvement,-73.9679705,40.5886305
Prescription Medication,-73.937483,40.6952172
Prescription Medication,-73.9103665,40.6373915
Aggressive Driving/Road Rage,-73.8930012,40.8678804
Alcohol Involvement,-73.957332,40.5987306
Prescription Medication,-73.9981962,40.7210624
Alcohol Involvement,-73.8170401,40.6963815
Alcohol Involvement,-73.924128,40.6900051
Prescription Medication,-73.828691,40.8819793
Prescription Medication,-74.0024725,40.7551165
Prescription Medication,-73.8118641,40.6916302
Fell Asleep,-74.0220051,40.6189381
Prescription Medication,-73.9251853,40.7439184
Alcohol Involvement,-73.9074026,40.8362327
Prescription Medication,-73.9189452,40.8303348
Alcohol Involvement,-73.7609464,40.6818
Alcohol Involvement,-73.9223713,40.8361093
Alcohol Involvement,-73.9762346,40.6259754
Alcohol Involvement,-73.8781619,40.838846
Alcohol Involvement,-73.8989243,40.8863823
Alcohol Involvement,-73.9331802,40.7137996
Alcohol Involvement,-73.886161,40.8169293
Alcohol Involvement,-73.8851276,40.7646768
Prescription Medication,-73.9949215,40.7552921
Prescription Medication,-73.9429439,40.7276604
Prescription Medication,-73.9809286,40.6889031
Alcohol Involvement,-73.8791269,40.6816746
Prescription Medication,-74.0021839,40.7607762
Prescription Medication,-73.9950868,40.7652528
Alcohol Involvement,-73.8421578,40.7009037
Alcohol Involvement,-73.8149753,40.6866946
Alcohol Involvement,-73.8737786,40.7605204
Prescription Medication,-73.9391878,40.7950721
Drugs (Illegal),-73.876684,40.8737927
Prescription Medication,-73.9746902,40.6802669
Prescription Medication,-73.9529869,40.678723
Alcohol Involvement,-73.9151776,40.840633
Fell Asleep,-74.0181512,40.6203359
Prescription Medication,-73.8634231,40.7319494
Prescription Medication,-73.9395596,40.6560641
Alcohol Involvement,-73.8968799,40.9010398
Prescription Medication,-73.9424349,40.7906273
Alcohol Involvement,-73.9283288,40.7365231
Fell Asleep,-73.9392594,40.653267
Fell Asleep,-73.8369598,40.8163405
Prescription Medication,-73.9477302,40.6697124
Alcohol Involvement,-73.9945377,40.6383073
Prescription Medication,-73.880998,40.7019303
Prescription Medication,-73.8317333,40.8687708
Aggressive Driving/Road Rage,-73.9344002,40.7460347
Prescription Medication,-73.9943462,40.7714641
Prescription Medication,-73.9726934,40.7491572
Prescription Medication,-73.7799889,40.7871984
Alcohol Involvement,-73.9323244,40.846153
Prescription Medication,-73.9030288,40.8097014
Alcohol Involvement,-73.9402012,40.5916853
Alcohol Involvement,-73.9308839,40.8481201
Alcohol Involvement,-73.9220991,40.6642522
Prescription Medication,-73.9798115,40.6866467
Alcohol Involvement,-73.8819824,40.8283569
Prescription Medication,-73.7517434,40.7045457
Aggressive Driving/Road Rage,-73.9162358,40.8268416
Prescription Medication,-73.9808413,40.6966659
Prescription Medication,-74.0051731,40.7190037
Prescription Medication,-74.0121193,40.6295839
Alcohol Involvement,-73.9360169,40.8062963
Prescription Medication,-73.8285769,40.697618
Prescription Medication,-73.9496815,40.8020241
Prescription Medication,-73.9285006,40.6341296
Prescription Medication,-73.7388593,40.7573584
Prescription Medication,-74.0919292,40.5985042
Prescription Medication,-73.7594406,40.7524033
Prescription Medication,-73.9247844,40.6771023
Aggressive Driving/Road Rage,-73.9069976,40.8183396
Prescription Medication,-73.9666173,40.7532425
Prescription Medication,-73.9866041,40.7257771
Prescription Medication,-73.9954735,40.759626
Prescription Medication,-73.9137137,40.8129542
Prescription Medication,-73.9715677,40.6299872
Prescription Medication,-74.0777656,40.6440727
Aggressive Driving/Road Rage,-73.9504335,40.7865414
Prescription Medication,-73.9416325,40.5936898
Prescription Medication,-73.7998627,40.6846108
Fell Asleep,-74.0217355,40.6316877
Prescription Medication,-73.9642976,40.6097753
Prescription Medication,-73.9774579,40.6840525
Prescription Medication,-74.107541,40.572673
Prescription Medication,-73.8901066,40.8626161
Aggressive Driving/Road Rage,-73.732447,40.7435523
Alcohol Involvement,-73.7398107,40.6597135
Aggressive Driving/Road Rage,-73.8757999,40.8264017
Alcohol Involvement,-73.9523623,40.6496692
Prescription Medication,-73.996196,40.7484385
Fell Asleep,-74.0086378,40.619143
Prescription Medication,-73.9481649,40.7226536
Prescription Medication,-73.879883,40.6742563
Prescription Medication,-73.8171259,40.7176783
Prescription Medication,-74.0277916,40.6314641
Prescription Medication,-73.9470933,40.7227739
Alcohol Involvement,-73.9414719,40.5837974
Prescription Medication,-73.9533514,40.7141828
Prescription Medication,-73.8703755,40.8324039
Prescription Medication,-73.9882379,40.7491296
Prescription Medication,-73.8282803,40.755392
Alcohol Involvement,-73.8654197,40.8278008
Prescription Medication,-73.853746,40.7269695
Prescription Medication,-73.9828775,40.7667145
Prescription Medication,-74.0027863,40.7495913
Prescription Medication,-73.9856472,40.7629162
Prescription Medication,-73.9600159,40.6448523
Fell Asleep,-73.8279998,40.8486328
Alcohol Involvement,-73.9284202,40.8602419
Alcohol Involvement,-73.7985521,40.5968739
Alcohol Involvement,-73.9973406,40.736669
Prescription Medication,-74.0124422,40.719058
Prescription Medication,-73.781667,40.6686085
Prescription Medication,-73.8983484,40.6173115
Prescription Medication,-73.8680511,40.7325834
Alcohol Involvement,-73.9492194,40.7306798
Alcohol Involvement,-73.961111,40.7690642
Alcohol Involvement,-73.8259799,40.8304159
Alcohol Involvement,-74.006299,40.7225499
Alcohol Involvement,-73.8541865,40.8406104
Prescription Medication,-73.9986609,40.755251
Alcohol Involvement,-74.0301651,40.613927
Prescription Medication,-74.0135921,40.7144934
Alcohol Involvement,-73.8336777,40.7563194
Alcohol Involvement,-73.947563,40.6714882
Prescription Medication,-73.9242798,40.8071867
Prescription Medication,-73.936979,40.7019114
Alcohol Involvement,-73.9059495,40.6345745
Prescription Medication,-73.7391841,40.6872285
Prescription Medication,-74.0196014,40.6397084
Prescription Medication,-73.9971269,40.7546224
Prescription Medication,-73.766605,40.7606468
Aggressive Driving/Road Rage,-73.9744953,40.7466818
Alcohol Involvement,-73.745779,40.7515615
Prescription Medication,-73.999311,40.7175491
Fell Asleep,-73.9422783,40.8421538
Drugs (Illegal),-73.9364893,40.670887
Prescription Medication,-73.8457027,40.7695823
Fell Asleep,-73.8457263,40.7412355
Fell Asleep,-73.9509788,40.7276641
Prescription Medication,-74.0025224,40.7397514
Alcohol Involvement,-73.9679705,40.5886305
Prescription Medication,-73.9075049,40.7418634
Alcohol Involvement,-73.8960143,40.7352388
Fell Asleep,-73.7805598,40.7586294
Prescription Medication,-73.7811617,40.7292122
Prescription Medication,-73.9582917,40.7341363
Aggressive Driving/Road Rage,-73.9718806,40.6142652
Prescription Medication,-73.8224997,40.73303
Prescription Medication,-73.8480611,40.8356374
Prescription Medication,-73.7333134,40.7225157
Prescription Medication,-73.9449556,40.7207967
Alcohol Involvement,-73.7794791,40.6783648
Prescription Medication,-73.9023571,40.8686957
Prescription Medication,-73.9907077,40.6891376
Aggressive Driving/Road Rage,-74.1624214,40.6071903
Prescription Medication,-73.9453796,40.8418477
Prescription Medication,-73.8001949,40.7229393
Prescription Medication,-73.9998521,40.7217925
Prescription Medication,-73.9211792,40.8296282
Alcohol Involvement,-74.1634803,40.6043013
Prescription Medication,-73.9614312,40.5838992
Prescription Medication,-73.8073364,40.7634971
Prescription Medication,-73.9662075,40.7997602
Alcohol Involvement,-74.0161184,40.6153846
Prescription Medication,-73.9075049,40.7418634
Prescription Medication,-73.8411719,40.8377113
Prescription Medication,-73.9156325,40.8096976
Prescription Medication,-73.9080899,40.6761899
Alcohol Involvement,-73.8844598,40.8541515
Prescription Medication,-73.8693428,40.7473159
Alcohol Involvement,-73.9373966,40.6797311
Prescription Medication,-73.9887208,40.6892445
Prescription Medication,-73.9927692,40.665508
Prescription Medication,-73.9846193,40.7591997
Prescription Medication,-73.9820935,40.768891
Prescription Medication,-74.0133505,40.7152345
Prescription Medication,-74.0017543,40.6835475
Alcohol Involvement,-73.7409479,40.693573
Prescription Medication,-73.8248379,40.7821423
Prescription Medication,-73.9375762,40.8267618
Prescription Medication,-73.9272684,40.8655357
Prescription Medication,-73.744756,40.7161655
Prescription Medication,-73.9754421,40.6161132
Aggressive Driving/Road Rage,-73.9537478,40.766852
Prescription Medication,-73.983074,40.6466257
Prescription Medication,-73.942665,40.6199168
Prescription Medication,-73.9045052,40.8306257
Prescription Medication,-73.9185913,40.8389831
Prescription Medication,-73.8825581,40.8502246
Alcohol Involvement,-73.7696774,40.6843183
Alcohol Involvement,-73.9585673,40.7840825
Prescription Medication,-73.9949825,40.7603012
Aggressive Driving/Road Rage,-73.9693348,40.7852936
Alcohol Involvement,-73.7625573,40.7235211
Alcohol Involvement,-74.0004366,40.7287944
Prescription Medication,-73.9949215,40.7552921
Aggressive Driving/Road Rage,-73.8795536,40.7348522
Alcohol Involvement,-73.9620635,40.7637343
Prescription Medication,-73.8479253,40.8713431
Alcohol Involvement,-73.8371988,40.5798131
Prescription Medication,-73.9798865,40.5935052
Prescription Medication,-73.9547447,40.6969956
Prescription Medication,-74.0987363,40.5944884
Prescription Medication,-73.940706,40.6963525
Prescription Medication,-73.9439219,40.8302701
Prescription Medication,-73.9419913,40.7277505
Prescription Medication,-73.9410184,40.595921
Prescription Medication,-73.9147305,40.6481022
Alcohol Involvement,-73.9493455,40.588514
Alcohol Involvement,-73.9493455,40.588514
Alcohol Involvement,-73.8372343,40.8355732
Prescription Medication,-73.9666649,40.5786253
Prescription Medication,-73.7249793,40.7636922
Prescription Medication,-73.9677858,40.6879835
Prescription Medication,-73.9828775,40.7667145
Prescription Medication,-73.8836235,40.8672566
Prescription Medication,-73.9127887,40.8048401
Prescription Medication,-73.9793644,40.6866823
Prescription Medication,-73.9634255,40.7618573
Prescription Medication,-73.9023131,40.6451334
Aggressive Driving/Road Rage,-73.9485231,40.7446585
Prescription Medication,-73.9862873,40.7222418
Prescription Medication,-73.9986609,40.755251
Alcohol Involvement,-73.7433292,40.7542629
Aggressive Driving/Road Rage,-74.0151828,40.6507733
Aggressive Driving/Road Rage,-73.8596186,40.8285487
Prescription Medication,-73.8800407,40.8952213
Prescription Medication,-73.9897185,40.7204773
Alcohol Involvement,-74.0123418,40.7027569
Alcohol Involvement,-73.9575609,40.7145001
Prescription Medication,-73.9768929,40.7224983
Prescription Medication,-74.0069372,40.7191271
Prescription Medication,-73.9294338,40.6612953
Prescription Medication,-73.9986609,40.755251
Prescription Medication,-73.8361153,40.7118249
Prescription Medication,-74.012825,40.7024083
Alcohol Involvement,-73.8145209,40.6932155
Prescription Medication,-73.8617629,40.7269218
Alcohol Involvement,-73.8974019,40.8674755
Prescription Medication,-73.9758819,40.74478
Alcohol Involvement,-73.9581819,40.8055956
Prescription Medication,-73.9867496,40.7195932
Alcohol Involvement,-73.9472651,40.7564741
Alcohol Involvement,-73.8213777,40.6979776
Prescription Medication,-73.8654615,40.832132
Prescription Medication,-73.8881227,40.8642556
Prescription Medication,-73.9592007,40.6461284
Prescription Medication,-73.9424705,40.7619942
Prescription Medication,-73.9220023,40.7408915
Prescription Medication,-73.9992717,40.6800528
Prescription Medication,-73.8640794,40.7657491
Prescription Medication,-73.9609405,40.62279
Prescription Medication,-73.997671,40.6786804
Prescription Medication,-74.0047875,40.7236259
Prescription Medication,-73.8680511,40.7325834
Drugs (Illegal),-74.092975,40.5944685
Aggressive Driving/Road Rage,-73.971314,40.7927515
Prescription Medication,-73.9496815,40.8020241
Alcohol Involvement,-73.9014132,40.8468635
Prescription Medication,-73.8923505,40.7405163
Prescription Medication,-73.9661497,40.5866702
Prescription Medication,-73.9264388,40.7657317
Prescription Medication,-73.9942647,40.7115928
Alcohol Involvement,-73.9962116,40.7090991
Prescription Medication,-73.9216614,40.8313358
Alcohol Involvement,-74.0257501,40.6160581
Alcohol Involvement,-73.8119513,40.7501926
Aggressive Driving/Road Rage,-73.9140226,40.8422488
Prescription Medication,-73.8411794,40.8285193
Alcohol Involvement,-73.7763624,40.6799371
Alcohol Involvement,-73.9781153,40.7572855
Prescription Medication,-74.0291335,40.6353723
Prescription Medication,-73.9549801,40.7275696
Prescription Medication,-73.9201276,40.6611218
Alcohol Involvement,-74.0050023,40.6537577
Prescription Medication,-73.8993168,40.8540693
Alcohol Involvement,-73.9367775,40.7547506
Prescription Medication,-73.9582947,40.8156907
Prescription Medication,-73.9231089,40.8670152
Alcohol Involvement,-73.8218786,40.5820493
Prescription Medication,-73.9197524,40.8681135
Prescription Medication,-73.9809038,40.7378861
Prescription Medication,-73.9935606,40.7571447
Prescription Medication,-74.0026064,40.6731826
Prescription Medication,-73.9903644,40.7192038
Prescription Medication,-73.9496482,40.6789631
Prescription Medication,-73.8084381,40.7030263
Fell Asleep,-73.9273969,40.8571535
Prescription Medication,-73.979076,40.7668758
Aggressive Driving/Road Rage,-73.9975518,40.6836292
Prescription Medication,-73.7298428,40.6655588
Prescription Medication,-73.8088765,40.7010536
Prescription Medication,-73.9402644,40.6941482
Alcohol Involvement,-74.005687,40.7375527
Alcohol Involvement,-73.9630861,40.7750017
Fell Asleep,-73.7873974,40.8510464
Prescription Medication,-73.9830532,40.6295531
Alcohol Involvement,-74.1501612,40.5507682
Prescription Medication,-73.9625737,40.671645
Aggressive Driving/Road Rage,-73.7594537,40.7017816
Prescription Medication,-74.0021839,40.7607762
Alcohol Involvement,-73.950066,40.6554241
Prescription Medication,-73.7229343,40.7642676
Aggressive Driving/Road Rage,-73.9804027,40.7483655
Prescription Medication,-74.0032374,40.7489737
Animals Action,-73.9290159,40.7277782
Prescription Medication,-73.9618989,40.6981895
Drugs (Illegal),-73.9937353,40.7416232
Prescription Medication,-73.9548711,40.6061132
Alcohol Involvement,-74.004927,40.7570213
Prescription Medication,-73.8521639,40.6936625
Alcohol Involvement,-73.9002599,40.8542925
Prescription Medication,-73.9335895,40.7447332
Alcohol Involvement,-73.8104838,40.7369935
Prescription Medication,-74.0113274,40.6337945
Prescription Medication,-73.9730158,40.7642781
Prescription Medication,-74.0076975,40.7428308
Alcohol Involvement,-73.9656962,40.7545048
Prescription Medication,-73.9605171,40.5894516
Prescription Medication,-74.0883064,40.6011091
Alcohol Involvement,-73.7242067,40.7259839
Alcohol Involvement,-73.9573157,40.8043547
Alcohol Involvement,-73.9109852,40.8623405
Prescription Medication,-73.8962127,40.8163185
Alcohol Involvement,-73.9499552,40.8271027
Prescription Medication,-73.760947,40.7399699
Alcohol Involvement,-73.9100022,40.6483539
Alcohol Involvement,-73.8066524,40.7255524
Alcohol Involvement,-73.9050073,40.9041401
Prescription Medication,-73.9015805,40.7411311
Prescription Medication,-74.0301743,40.6183407
Alcohol Involvement,-73.8832776,40.8253967
Prescription Medication,-74.0035102,40.7205573
Prescription Medication,-73.791744,40.7257899
Prescription Medication,-73.9176306,40.7538574
Prescription Medication,-73.978388,40.6844232
Prescription Medication,-73.9916334,40.7547072
Alcohol Involvement,-73.9355882,40.6856945
Alcohol Involvement,-73.8757525,40.6438488
Prescription Medication,-73.8718573,40.8537088
Alcohol Involvement,-74.0169076,40.6454454
Alcohol Involvement,-74.0031391,40.731465
Fell Asleep,-73.9868089,40.7297762
Alcohol Involvement,-73.8317847,40.6997773
Alcohol Involvement,-73.7972905,40.7381194
Alcohol Involvement,-73.7369176,40.7224663
Prescription Medication,-73.7090339,40.7472339
Prescription Medication,-73.9590769,40.6129575
Fell Asleep,-73.9601368,40.762106
Prescription Medication,-74.0008729,40.7116973
Prescription Medication,-73.8945388,40.7486785
Prescription Medication,-73.9893933,40.7231754
Prescription Medication,-73.9344002,40.7460347
Alcohol Involvement,-73.9404222,40.711218
Prescription Medication,-73.8146945,40.7371403
Prescription Medication,-73.8505254,40.7392811
Prescription Medication,-73.9178876,40.6156473
Prescription Medication,-73.9118139,40.8617318
Prescription Medication,-73.9883913,40.7591644
Prescription Medication,-73.9877793,40.7506611
Animals Action,-73.8527719,40.6975581
Prescription Medication,-73.9253817,40.7619707
Alcohol Involvement,-74.0041359,40.630364
Aggressive Driving/Road Rage,-73.8725705,40.8408394
Prescription Medication,-73.9977585,40.7564889
Alcohol Involvement,-73.8748947,40.7466689
Drugs (Illegal),-74.0055932,40.7381374
Prescription Medication,-73.9214112,40.6913537
Prescription Medication,-74.0174913,40.6448799
Prescription Medication,-73.9261381,40.8350523
Prescription Medication,-73.9852115,40.5789366
Alcohol Involvement,-73.9249432,40.8275118
Prescription Medication,-74.0116096,40.6404149
Alcohol Involvement,-73.8108147,40.6924673
Prescription Medication,-74.015491,40.6436697
Prescription Medication,-73.8906231,40.6914356
Prescription Medication,-73.9151941,40.7511713
Aggressive Driving/Road Rage,-73.9542464,40.766166
Alcohol Involvement,-73.9923745,40.7096406
Prescription Medication,-73.8906229,40.6585778
Prescription Medication,-74.0260387,40.6357409
Prescription Medication,-74.0088235,40.7160144
Prescription Medication,-73.9851029,40.7594056
Prescription Medication,-74.1200527,40.560394
Aggressive Driving/Road Rage,-74.1208417,40.5608653
Prescription Medication,-73.909459,40.6608751
Prescription Medication,-73.9730271,40.5832013
Alcohol Involvement,-73.7657123,40.6747584
Alcohol Involvement,-73.9228316,40.6355423
Alcohol Involvement,-73.973516,40.6228375
Aggressive Driving/Road Rage,-73.9665842,40.7615508
Prescription Medication,-73.9010217,40.8476674
Prescription Medication,-73.8925647,40.8605215
Prescription Medication,-73.9315393,40.6643433
Prescription Medication,-73.9840766,40.7491017
Prescription Medication,-73.7375377,40.7684013
Prescription Medication,-73.8453816,40.8628037
Prescription Medication,-73.905579,40.6646598
Prescription Medication,-73.9620549,40.8105319
Fell Asleep,-74.0265614,40.627188
Prescription Medication,-73.9758293,40.7604196
Prescription Medication,-73.9516098,40.7878593
Fell Asleep,-74.0235199,40.6346161
Prescription Medication,-73.9871351,40.7224697
Prescription Medication,-73.9941419,40.7142689
Alcohol Involvement,-73.912698,40.8409303
Prescription Medication,-73.9961279,40.6781616
Fell Asleep,-74.0286769,40.6292955
Prescription Medication,-73.9538363,40.5817444
Fell Asleep,-74.0280795,40.6307531
Prescription Medication,-73.9541633,40.7872263
Prescription Medication,-73.9482914,40.8338622
Aggressive Driving/Road Rage,-73.8552451,40.5799745
Prescription Medication,-74.0923984,40.607073
Fell Asleep,-73.8868423,40.8432985
Prescription Medication,-73.9654237,40.6049531
Prescription Medication,-73.9695659,40.6193973
Prescription Medication,-73.9579038,40.708426
Prescription Medication,-74.1023153,40.577945
Animals Action,-73.8674847,40.8613463
Alcohol Involvement,-73.995945,40.6662604
Prescription Medication,-73.9930696,40.7578281
Prescription Medication,-73.8992263,40.8875298
Alcohol Involvement,-73.7650163,40.7466024
Prescription Medication,-74.164212,40.5869915
Aggressive Driving/Road Rage,-73.9235829,40.7472137
Prescription Medication,-73.860601,40.7304364
Prescription Medication,-73.8874711,40.7514934
Fell Asleep,-74.0280795,40.6307531
Aggressive Driving/Road Rage,-73.9856472,40.7629162
Prescription Medication,-73.9523208,40.7127029
Fell Asleep,-74.0207202,40.6341692
Prescription Medication,-73.983365,40.7660449
Alcohol Involvement,-73.9646376,40.5933231
Fell Asleep,-74.0282805,40.6374668
Aggressive Driving/Road Rage,-73.9956441,40.744099
Alcohol Involvement,-73.987123,40.7659905
Alcohol Involvement,-73.8851276,40.7646768
Alcohol Involvement,-73.8964854,40.6294172
Alcohol Involvement,-73.8633139,40.6919608
Alcohol Involvement,-73.8735808,40.718251
Alcohol Involvement,-73.7311294,40.652192
Prescription Medication,-73.979056,40.750218
Prescription Medication,-73.9907165,40.5737083
Alcohol Involvement,-73.9742872,40.6219978
Alcohol Involvement,-73.8847479,40.8422672
Alcohol Involvement,-73.778912,40.6895707
Alcohol Involvement,-73.9000977,40.8492091
Aggressive Driving/Road Rage,-73.9057681,40.844644
Alcohol Involvement,-73.9168934,40.8413479
Alcohol Involvement,-73.8720851,40.7607683
Prescription Medication,-73.9873956,40.7183032
Fell Asleep,-73.9619476,40.6696356
Aggressive Driving/Road Rage,-73.9206109,40.866761
Prescription Medication,-73.9412163,40.714707
Prescription Medication,-73.8625956,40.7342733
Prescription Medication,-73.9725534,40.7648983
Prescription Medication,-73.9266283,40.6166112
Prescription Medication,-73.9693903,40.7902945
Prescription Medication,-73.9360965,40.7497328
Prescription Medication,-73.9229175,40.6922138
Prescription Medication,-73.974044,40.7472966
Aggressive Driving/Road Rage,-73.9497689,40.6526435
Alcohol Involvement,-73.9027759,40.8517942
Prescription Medication,-73.9488887,40.6444252
Prescription Medication,-73.8454594,40.8215343
Prescription Medication,-73.9753742,40.7610398
Prescription Medication,-73.7604251,40.6833771
Alcohol Involvement,-74.0026387,40.7601586
Animals Action,-73.7654595,40.5980161
Prescription Medication,-73.7578747,40.6013244
Aggressive Driving/Road Rage,-73.9904546,40.6937214
Prescription Medication,-73.9405708,40.7850321
Prescription Medication,-73.9614762,40.7743233
Prescription Medication,-73.9923627,40.6896895
Prescription Medication,-73.9372265,40.6229579
Prescription Medication,-73.8148012,40.7338001
Prescription Medication,-73.9110147,40.8159768
Aggressive Driving/Road Rage,-73.8253158,40.7172766
Prescription Medication,-73.9263542,40.7475504
Alcohol Involvement,-73.8968533,40.6757357
Drugs (Illegal),-73.8258299,40.7759163
Prescription Medication,-73.9652036,40.7026233
Aggressive Driving/Road Rage,-73.9093069,40.6640974
Prescription Medication,-74.0291611,40.6407741
Prescription Medication,-74.1671949,40.6020754
Prescription Medication,-73.9030288,40.8097014
Prescription Medication,-73.9294023,40.6332189
Alcohol Involvement,-73.8534882,40.8376755
Aggressive Driving/Road Rage,-73.9823516,40.7623421
Prescription Medication,-74.0162815,40.6786546
Prescription Medication,-73.8918767,40.8301369
Aggressive Driving/Road Rage,-73.9944667,40.7559096
Prescription Medication,-73.9628837,40.6070191
Prescription Medication,-74.0128372,40.7097093
Aggressive Driving/Road Rage,-74.0089428,40.7179248
Alcohol Involvement,-74.0178829,40.627482
Fell Asleep,-73.9149165,40.7085368
Fell Asleep,-74.0205243,40.6180573
Prescription Medication,-73.9973989,40.7214494
Prescription Medication,-73.9504303,40.7713904
Alcohol Involvement,-73.8897118,40.8194332
